Word,Definition,Turkish Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations,Topic,Lang
convert,"Change the form, character, or function of something",dönüştürmek,They converted the garage into a living space.,"verb, noun","converts, converting, converted","transform, change","keep, retain","convert to, convert into",khác,en
convince,Cause (someone) to believe firmly in the truth of something,ikna etmek,She convinced him to go on the trip.,"verb, noun","convinces, convincing, convinced","persuade, assure","dissuade, discourage","convince someone, convince completely",du lịch,en
cook,"Prepare (food, a dish, or a meal) by combining and heating the ingredients",pişirmek,He cooked dinner for the family.,"verb, noun","cooks, cooking, cooked","prepare, make","burn, ruin","cook a meal, cook dinner",thức ăn,en
cooker,A person employed to prepare food in a restaurant,aşçı,The cooker prepared a delicious meal.,noun,cookers,"chef, cook",none,"professional cooker, master cooker",thức ăn,en
cookie,"A small flat, sweet cake",kurabiye,She baked a batch of cookies.,noun,cookies,"biscuit, treat",none,"chocolate chip cookie, cookie jar",thức ăn,en
cooking,"The practice or skill of preparing food by combining, mixing, and heating ingredients",yemek yapma,He enjoys cooking for his friends.,"noun, verb",cookings,"culinary, food preparation",none,"home cooking, enjoy cooking",thức ăn,en
cool,Of or at a fairly low temperature,serin,The weather is cool today.,"adjective, verb","cooler, coolest","chilly, cold","warm, hot","cool breeze, cool weather",khác,en
cool down,Become less hot,serinlemek,The soup needs to cool down before serving.,phrasal verb,"cools down, cooling down, cooled down","cool off, cool","heat up, warm up","cool down quickly, cool down completely",thức ăn,en
cope,Deal effectively with something difficult,başa çıkmak,She coped well with the pressure.,"verb, noun","copes, coping, coped","manage, handle","struggle, fail","cope with stress, cope with problems",nghề nghiệp,en
copy,A thing made to be similar or identical to another,kopya,He made a copy of the document.,"noun, verb","copies, copying, copied","replica, duplicate","original, unique","make a copy, exact copy",khác,en
core,The central or most important part of something,çekirdek,The core of the problem is lack of communication.,"noun, verb",cores,"center, essence","periphery, exterior","core values, core issue",luyện trí não,en
corner,A place or angle where two or more sides or edges meet,köşe,She sat in the corner of the room.,"noun, verb","corners, cornering, cornered","nook, angle","middle, center","corner of the room, street corner",khác,en
correct,Free from error; in accordance with fact or truth,doğru,He gave the correct answer.,"adjective, verb","corrects, correcting, corrected","right, accurate","wrong, incorrect","correct answer, correct spelling",trường học,en
correctly,In a way that is free from error or in accordance with fact or truth,doğru bir şekilde,She spelled the word correctly.,adverb,correctness,"rightly, accurately","incorrectly, wrongly","correctly spelled, correctly answered",trường học,en
cost,An amount that has to be paid or spent to buy or obtain something,maliyet,The cost of living is rising.,"noun, verb","costs, costing, costed","price, expense","profit, gain","high cost, low cost",nghề nghiệp,en
cottage,"A small simple house, typically one near a lake or beach",kulübe,They rented a cottage by the lake.,"noun, verb",cottages,"cabin, hut","mansion, palace","country cottage, small cottage",du lịch,en
cotton,A soft white fibrous substance that surrounds the seeds of the cotton plant and is used as textile fiber and thread for sewing,pamuk,She wore a cotton dress.,"noun, adjective",cottons,"fiber, textile","synthetic, polyester","cotton fabric, cotton field",luyện trí não,en
cough,Expel air from the lungs with a sudden sharp sound,öksürmek,He has a bad cough.,"verb, noun","coughs, coughing, coughed","hack, clear throat",none,"bad cough, persistent cough",khác,en
could,"Past form of can, used to indicate possibility",yapabilirdi,She said she could help.,"verb, noun",could,"might, would","cannot, won't","could be, could have",khác,en
council,"An advisory, deliberative, or legislative body of people formally constituted and meeting regularly",meclis,The city council meets every month.,"noun, verb",councils,"committee, assembly","individual, person","city council, council member",nghề nghiệp,en
count,Determine the total number of (a collection of items),saymak,He counted the money.,"verb, noun","counts, counting, counted","enumerate, tally","estimate, guess","count the votes, count the cost",khác,en
counter,A long flat-topped fixture in a store or bank across which business is conducted with customers,tezgah,She leaned on the counter.,"noun, verb","counters, countering, countered","worktop, table",none,"store counter, kitchen counter",nghề nghiệp,en
count on,Rely on,güvenmek,You can count on me.,phrasal verb,"counts on, counting on, counted on","depend on, rely","doubt, mistrust","count on support, count on assistance",khác,en
country,"A nation with its own government, occupying a particular territory",ülke,France is a beautiful country.,"noun, verb",countries,"nation, state","city, metropolis","foreign country, home country",văn hóa,en
countryside,The land and scenery of a rural area,kırsal bölge,They live in the countryside.,"noun, verb",countrysides,"rural area, farmland","urban area, cityscape","beautiful countryside, peaceful countryside",du lịch,en
county,"A territorial division of some countries, forming the chief unit of local administration",ilçe,"The county has a population of 500,000.","noun, verb",counties,"district, region",none,"county fair, county council",khác,en
couple,Two individuals of the same sort considered together,çift,A young couple moved in next door.,"noun, verb","couples, coupling, coupled","pair, duo","individual, single","married couple, happy couple",khác,en
courage,The ability to do something that frightens one; bravery,cesaret,She showed great courage during the crisis.,"noun, verb",courageous,"bravery, valor","fear, cowardice","show courage, great courage",luyện trí não,en
course,"The route or direction followed by a ship, aircraft, road, or river",kurs,The ship changed course.,"noun, verb",courses,"path, direction",none,"course of action, golf course",du lịch,en
